
---------------------------------------------- [malloc] [cover]
03-Apr 10:38:40 test202         0.1 sec    67: 17935 of 25114  28.6%   593.46/s
03-Apr 10:38:40 test202         0.0 sec     1: 17934 of 25114  28.6%    22.99/s
03-Apr 10:38:44 test152         3.0 sec   827: 17107 of 25114  31.9%   271.92/s
03-Apr 10:38:48 test152         4.3 sec    13: 17094 of 25114  31.9%     3.03/s
03-Apr 10:40:03 test152        74.9 sec   245: 16849 of 25114  32.9%     3.27/s
03-Apr 10:40:04 test222         0.1 sec    18: 16831 of 25114  33.0%   164.42/s
03-Apr 10:40:04 test256         0.6 sec    58: 16773 of 25114  33.2%    97.56/s
03-Apr 10:40:08 test186         2.9 sec    44: 16729 of 25114  33.4%    15.07/s
03-Apr 10:40:08 test186         0.5 sec     3: 16726 of 25114  33.4%     6.57/s
03-Apr 10:40:09 test186(0)      0.4 sec     5: 16721 of 25114  33.4%    11.84/s
03-Apr 10:40:09 test150         0.2 sec    36: 16685 of 25114  33.6%   160.66/s
03-Apr 10:40:10 test239         0.1 sec    15: 16670 of 25114  33.6%   174.96/s
03-Apr 10:40:11 test239         0.9 sec     2: 16668 of 25114  33.6%     2.16/s
03-Apr 10:40:11 test235         0.0 sec     4: 16664 of 25114  33.6%   102.13/s
03-Apr 10:40:11 test226         0.0 sec     8: 16656 of 25114  33.7%   627.89/s
03-Apr 10:40:12 test223         0.0 sec     2: 16654 of 25114  33.7%    64.85/s
03-Apr 10:40:12 test204         0.1 sec    14: 16640 of 25114  33.7%   146.10/s
03-Apr 10:40:12 test203         0.1 sec     9: 16631 of 25114  33.8%   178.99/s
03-Apr 10:40:12 test183         0.0 sec    12: 16619 of 25114  33.8%   455.29/s
03-Apr 10:40:13 test179         0.1 sec    15: 16604 of 25114  33.9%   153.32/s
03-Apr 10:40:15 test179         2.0 sec     4: 16600 of 25114  33.9%     2.04/s
03-Apr 10:40:15 test174         0.0 sec    10: 16590 of 25114  33.9%   243.37/s
03-Apr 10:40:16 test155         0.1 sec    41: 16549 of 25114  34.1%   345.94/s
03-Apr 10:40:16 test136         0.1 sec    55: 16494 of 25114  34.3%   383.25/s
